"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Plasmodium falciparum HB3 (GCA_000149665.2)","Alveolata","137071","ASM14966v2","GCA_000149665.2","-","-","-","-","-","-"
"","Plasmodium falciparum IGH-CR14 (GCA_000186055.2)","Alveolata","580059","ASM18605v2","GCA_000186055.2","-","-","-","-","-","-"
"","Plasmodium falciparum MaliPS096_E11 (GCA_000521035.1)","Alveolata","1036727","Plas_falc_MaliPS096_E11_V1","GCA_000521035.1","-","-","-","-","-","-"
"","Plasmodium falciparum NF135/5.C10 (GCA_000521075.1)","Alveolata","1036726","Plas_falc_NF135_5_C10_V1","GCA_000521075.1","-","-","-","-","-","-"
"","Plasmodium falciparum NF54 (GCA_000401695.2)","Alveolata","5843","Plas_falc_NF4_V1","GCA_000401695.2","-","-","-","-","-","-"
"","Plasmodium falciparum NF54 (GCA_002831795.1)","Alveolata","5843","ASM283179v1","GCA_002831795.1","-","-","-","-","-","-"
"","Plasmodium falciparum Palo Alto/Uganda (GCA_000521095.1)","Alveolata","57270","Plas_falc_Uganda_Palo-Alto_FUP_H_V1","GCA_000521095.1","-","-","-","-","-","-"
"","Plasmodium falciparum RAJ116 (GCA_000186025.2)","Alveolata","580058","ASM18602v2","GCA_000186025.2","-","-","-","-","-","-"
"","Plasmodium falciparum Santa Lucia (GCA_000150455.3)","Alveolata","478859","Plas_falc_Santa_Lucia_Salvador_I_V1","GCA_000150455.3","-","-","-","-","-","-"
"","Plasmodium falciparum Tanzania (2000708) (GCA_000521055.1)","Alveolata","1036725","Plas_falc_02000708_V1","GCA_000521055.1","-","-","-","-","-","-"
"","Plasmodium falciparum UGT5.1 (GCA_000401715.2)","Alveolata","1237627","Plas_falc_5_1_V1","GCA_000401715.2","-","-","-","-","-","-"
"","Plasmodium falciparum Vietnam Oak-Knoll (FVO) (GCA_000521015.1)","Alveolata","1036723","Plas_falc_Vietnam_Oak-Knoll_FVO_V1","GCA_000521015.1","-","-","-","-","-","-"
"","Plasmodium fragile str. multiple (GCA_000956335.1)","Alveolata","5857","Plas_frag_nilgiri_V1","GCA_000956335.1","-","-","-","-","","-"
"","Plasmodium gaboni (GCA_001602025.1)","Alveolata","647221","ASM160202v1","GCA_001602025.1","-","-","-","-","","-"
"","Plasmodium gallinaceum (GCA_900005855.1)","Alveolata","5849","PGAL8A","GCA_900005855.1","-","-","-","-","","-"
"","Plasmodium gonderi (GCA_002157705.1)","Alveolata","77519","Pgonderi_assembly01","GCA_002157705.1","-","-","-","-","","-"
"","Plasmodium inui San Antonio 1 (GCA_000524495.1)","Alveolata","1237626","Plas_inui_San_Antonio_1_V1","GCA_000524495.1","-","-","-","-","","-"
"","Plasmodium knowlesi","Alveolata","5851","ASM635v1","GCA_000006355.1","-","-","-","","","-"
"","Plasmodium knowlesi str. Malayan Strain Pk1 (A+) (GCA_002140095.1)","Alveolata","5850","PKNOHv1","GCA_002140095.1","-","-","-","-","-","-"
"","Plasmodium knowlesi strain H (GCA_900004885.2)","Alveolata","5851","PKNA1-C.2","GCA_900004885.2","-","-","-","-","-","-"
"","Plasmodium malariae (GCA_900088575.1)","Alveolata","5858","Pmal","GCA_900088575.1","-","-","-","-","","-"
"","Plasmodium malariae (GCA_900090045.1)","Alveolata","5858","PmUG01","GCA_900090045.1","-","-","-","-","-","-"
"","Plasmodium ovale (GCA_900090025.2)","Alveolata","36330","PowCR01","GCA_900090025.2","-","-","-","-","-","-"
"","Plasmodium ovale curtisi (GCA_900088555.1)","Alveolata","864141","Poc1","GCA_900088555.1","-","-","-","-","-","-"
"","Plasmodium ovale curtisi (GCA_900088565.1)","Alveolata","864141","Poc2","GCA_900088565.1","-","-","-","-","","-"
"","Plasmodium ovale wallikeri (GCA_900088485.1)","Alveolata","864142","Pow1","GCA_900088485.1","-","-","-","-","-","-"
"","Plasmodium ovale wallikeri (GCA_900088545.1)","Alveolata","864142","Pow2","GCA_900088545.1","-","-","-","-","-","-"
"","Plasmodium reichenowi (GCA_001601855.1)","Alveolata","5854","ASM160185v1","GCA_001601855.1","-","-","-","-","","-"
"","Plasmodium reichenowi (GCA_900097025.1)","Alveolata","5854","PRG01","GCA_900097025.1","-","-","-","-","-","-"
"","Plasmodium relictum (GCA_900005765.1)","Alveolata","85471","PRELSG","GCA_900005765.1","-","-","-","-","","-"
"","Plasmodium sp. DRC-Itaito (GCA_900240055.1)","Alveolata","720590","PGABG02","GCA_900240055.1","-","-","-","-","","-"
