"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Coprinopsis cinerea okayama7#130","Agaricales","240176","CC3","GCA_000182895.1","-","-","-","","","-"
"","Coprinopsis marcescibilis str. CBS 121175","Agaricales","230819","Copmar1","GCA_004369085.1","-","-","-","","-","-"
"","Cordyceps fumosorosea ARSEF 2679","Hypocreales","1081104","ISF_1.0","GCA_001636725.1","-","-","-","","-","-"
"","Cordyceps javanica","Hypocreales","43265","ASM698198v1","GCA_006981985.1","-","-","-","","-","-"
"","Cordyceps javanica","Hypocreales","43265","ASM698197v1","GCA_006981975.1","-","-","-","","-","-"
"","Cordyceps militaris CM01","Hypocreales","983644","CmilitarisCM01_v01","GCA_000225605.1","-","-","-","","-","-"
"","Cordyceps militaris str. ATCC 34164","Hypocreales","73501","ASM808049v1","GCA_008080495.1","-","-","-","","-","-"
"","Cordyceps sp. RAO-2017","Hypocreales","2004951","Hirsu2","GCA_002591385.1","-","-","-","","-","-"
"","Corynespora cassiicola Philippines","Pleosporales","1448308","Corynespora_cassiicola_v1.0","GCA_003016335.1","-","-","-","","","-"
"","Crucibulum laeve str. CBS 166.37","Agaricales","68775","Crula1","GCA_004379715.1","-","-","-","","-","-"
"","Cryomyces minteri","Dothideomycetes","331657","ASM505984v1","GCA_005059845.1","-","-","-","","-","-"
"","Cryptococcus amylolentus CBS 6039","Tremellales","1295533","Cryp_amyl_CBS6039_V3","GCA_001720205.1","-","-","-","","-","-"
"","Cryptococcus amylolentus CBS 6273","Tremellales","1296118","Cryp_amyl_CBS6273_V2","GCA_001720235.1","-","-","-","","-","-"
"","Cryptococcus depauperatus CBS 7841","Tremellales","1295531","Filo_depa_CBS7841_V1","GCA_001720195.1","-","-","-","","-","-"
"","Cryptococcus depauperatus CBS 7855","Tremellales","1295532","Filo_depa_CBS7855_V2","GCA_001720245.1","-","-","-","","-","-"
"","Cryptococcus floricola str. DSM 27421","Tremellales","2591691","Tsuc_wing_DSM_27421_V6","GCA_008355005.1","-","-","-","","-","-"
"","Cryptococcus gattii CA1280","Tremellales","1296109","Cryp_gatt_CA1280_V1","GCA_000836335.1","-","-","-","","-","-"
"","Cryptococcus gattii CA1873","Tremellales","1296111","Cryp_gatt_CA1873_V1","GCA_000855695.1","-","-","-","","-","-"
"","Cryptococcus gattii E566","Tremellales","1296102","Cryp_gatt_E566_V1","GCA_000875815.1","-","-","-","","-","-"
"","Cryptococcus gattii EJB2","Tremellales","1296103","Cryp_gatt_EJB2_V1","GCA_000835745.1","-","-","-","","-","-"
